# Copies and Copyright-Notice
#
#      RegulonDB is free for academic/noncommercial use
#
#      User is not entitled to change or erase data sets of the RegulonDB
#      database or to eliminate copyright notices from RegulonDB. Furthermore,
#      User is not entitled to expand RegulonDB or to integrate RegulonDB partly
#      or as a whole into other databank systems, without prior written consent
#      from CCG-UNAM.
#
#      Please check the license at http://regulondb.ccg.unam.mx/menu/download/full_version/terms_and_conditions.jsp
#
# Citation
#
#      Tierrafría, V. H. et al. (2022). RegulonDB 11.0: Comprehensive high-throughput datasets on transcriptional regulation in Escherichia coli K-12,
#      Microb Genom. 2022 May;8(5). doi: 10.1099/mgen.0.000833. PMID: 35584008. https://doi.org/10.1099/mgen.0.000833
#
#
# Contact
#
#      Person: RegulonDB Team
#      Web Page: http://regulondb.ccg.unam.mx/menu/about_regulondb/contact_us/index.jsp
#          (regulondb@ccg.unam.mx)
#
#
# Release: 11.0 Date:  08/22/2022
# ___________________________________________________________________________
#
# Columns:
#  (1) Transcription Factor (TF) Name
#  (2) TUName (regulated)
#  (3) Regulatory Function of the TF on the regulated gene (+ activator, - repressor, +- dual, ? unknown)
#  (4) Evidence that supports the existence of the TFBS
#  (5) Evidence of the function of the TFRS#  (6) Object confidence level based on  its evidence (Values: Confirmed, Strong, Weak)
#
AaeR	aaeXAB[aaeXp]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
FNR	glpABC[glpABCp]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[GEA|W|Gene expression analysis]	WEAK	
FNR	glpTQ[glpTQp]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[GEA|W|Gene expression analysis]	WEAK	
FNR	gltBDF[gltBp]	-	[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[GEA|W|Gene expression analysis]	WEAK	
FNR	gltBDF[gltBp2]	-	[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[GEA|W|Gene expression analysis]	WEAK	
FNR	gnd[gndp]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
FNR	grcA[grcAp1]	+	[BPP|S|Binding of purified proteins],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG	
FNR	hcp-hcr[hcpp1]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG	
FNR	hcp-hcr-poxB[hcpp1]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG	
FNR	hemA-prfA-prmC[hemAp1]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
FNR	hlyE[hlyEp]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
FNR	hmp[hmpp]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG	
FNR	hyfABCDEFGHIJR-focB[hyfAp]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[GEA|W|Gene expression analysis]	WEAK	
FNR	hypBCDE[hypBp]	+	[BPP|S|Binding of purified proteins],[BCE|W|Binding of cellular extracts]	[GEA|W|Gene expression analysis]	STRONG	
FNR	hypBCDE-fhlA[hypBp]	+	[BPP|S|Binding of purified proteins],[BCE|W|Binding of cellular extracts]	[GEA|W|Gene expression analysis]	STRONG	
FNR	iraD[iraDp2]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
FNR	iraD[idlPp]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
FNR	iraM[iraMp1]	+	[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[]	WEAK	
FNR	katG[katGp]	+	[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[GEA|W|Gene expression analysis]	WEAK	
FNR	lpdA[lpdAp]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
FNR	malPQ[malPp]	+	[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[GEA|W|Gene expression analysis]	WEAK	
FNR	moaABCDE[moaAp1]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[GEA|W|Gene expression analysis]	WEAK	
FNR	moeAB[moeAp]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
FNR	nac[nacp]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
FNR	napFDAGHBC-ccmABCDEFGH[napFp1]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG	
FNR	narGHJI[narGp]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG	
FNR	narK[narKp1]	+	[BCE|W|Binding of cellular extracts],[SM|S|Site mutation],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis],]	STRONG	
FNR	narXL[narXp]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[BCE|W|Binding of cellular extracts]	[]	STRONG	
FNR	ndh[ndhp]	-	[BCE|W|Binding of cellular extracts],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG	
FNR	nfeR[nfeRp]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
FNR	nikABCDER[nikAp1]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG	
FNR	nirBDC-cysG[nirBp]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG	
FNR	norVW[norVp]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[GEA|W|Gene expression analysis]	WEAK	
FNR	nrdDG[nrdDp]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG	
FNR	nrfABCDEFG[nrfAp]	+	[BCE|W|Binding of cellular extracts],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
FNR	nuoABCEFGHIJKLMN[nuoAp2]	-	[BCE|W|Binding of cellular extracts],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG	
FNR	ompW[ompWp]	+	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
FNR	ompX[ompXp2]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
FNR	pdhR-aceEF-lpdA[pdhRp]	+	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[BCE|W|Binding of cellular extracts]	[GEA|W|Gene expression analysis]	WEAK	
FNR	pdhR-aceEF-lpdA[pdhRp2]	+	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[BCE|W|Binding of cellular extracts]	[GEA|W|Gene expression analysis]	WEAK	
FNR	pepT[pepTp]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
FNR	pitA[pitAp]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
FNR	pstS[pstSp]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
FNR	pstS[pstSp2]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
FNR	pstSCA[pstSp]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
FNR	pstSCA[pstSp2]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
FNR	pstSCAB-phoU[pstSp]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
FNR	pstSCAB-phoU[pstSp2]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
FNR	purMN[purMp]	-	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG	
FNR	puuAP[puuAp]	-	[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[GEA|W|Gene expression analysis]	WEAK	
FNR	ravA-viaA[ravAp]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG	
FNR	rplM-rpsI[rplMp]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
FNR	rplT[rplTp]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
FNR	rplT-pheM[rplTp]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
FNR	rpsJ-rplCDWB-rpsS-rplV-rpsC-rplP-rpmC-rpsQ[rpsJp]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
FNR	rpsP-rimM-trmD-rplS[rpsPp]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
FNR	sdhCDAB-sucABCD-sdhX[sdhCp]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
FNR	sodA[sodAp]	-	[BCE|W|Binding of cellular extracts]	[GEA|W|Gene expression analysis]	WEAK	
FNR	soxR[soxRp]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
FNR	soxS[soxSp]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
FNR	ssuEADCB[ssuEp]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
FNR	sucAB[sucAp]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
FNR	sucABCD-sdhX[sucAp]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
FNR	tar-tap-cheRBYZ[tarp]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
FNR	tdcABCDEFG[tdcAp]	+	[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[GEA|W|Gene expression analysis]	WEAK	
FNR	tpx[tpxp]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[GEA|W|Gene expression analysis]	WEAK	
FNR	ubiCA[ubiCp]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[GEA|W|Gene expression analysis]	WEAK	
FNR	upp-uraA[uppp]	+	[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[GEA|W|Gene expression analysis]	WEAK	
FNR	uxaCA[uxaCp2]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
FNR	xdhABC[xdhAp1]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
FNR	ybdN[ybdNp]	+	[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[]	WEAK	
FNR	ychO[ychOp]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
FNR	ydeJ[ydeJp]	+	[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[]	WEAK	
FNR	ydhYVWXUT[ydhYp]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG	
FNR	yecR[yecRp]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
FNR	yeiL[yeiLp]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[GEA|W|Gene expression analysis]	WEAK	
FNR	yfgF[yfgFp]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
FNR	ygbA[ygbAp]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
FNR	yhjA[yhjAp]	+	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[BPP|S|Binding of purified proteins]	[]	STRONG	
FNR	ynfEFGH-dmsD[ynfEp]	+	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[BPP|S|Binding of purified proteins],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG	
FNR	ynfEFGH-dmsD[ynfEp2]	+	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[BPP|S|Binding of purified proteins],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG	
FNR	ysgA[ysgAp]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
FNR	ytfE[ytfEp]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
FNR	zwf[zwfp]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
FabR	fabA[fabAp]	-	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BCE|W|Binding of cellular extracts],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
FabR	fabB[fabBp]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BCE|W|Binding of cellular extracts],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
FadR	accA[accAp2]	+	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
FadR	accBC[accBp2]	+	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
FadR	accD[accDp]	+	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
FadR	fabA[fabAp]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BCE|W|Binding of cellular extracts]	[GEA|W|Gene expression analysis]	WEAK	
FadR	fabB[fabBp]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
FadR	fabHDG[fabHp]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG	
FadR	fabI[fabIp]	+	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
FadR	fadBA[fadBp]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BCE|W|Binding of cellular extracts]	[]	WEAK	
FadR	fadD-sroD[fadDp]	-	[BPP|S|Binding of purified proteins]	[]	STRONG	
FadR	fadE[fadEp]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
FadR	fadH[fadHp]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
FadR	fadIJ[fadIp]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
FadR	fadL[fadLp]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BCE|W|Binding of cellular extracts],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis],]	STRONG	
FadR	fadM[fadMp1]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[]	WEAK	
FadR	fadR[fadRp1]	+	[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[]	WEAK	
FadR	iclR[iclRp]	+	[BPP|S|Binding of purified proteins],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG	
FadR	uspA[uspAp1]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BCE|W|Binding of cellular extracts],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
FeaR	feaB[feaBp1]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG	
FeaR	tynA[tynAp]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG	
FhlA	fdhF[fdhFp]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
FhlA	hycABCDEFGHI[hycAp]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
FhlA	hydN-hypF[hydNp]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
FhlA	hyfABCDEFGHIJR-focB[hyfAp]	+	[]	[GEA|W|Gene expression analysis]	WEAK	
FhlA	hypABCDE[hypAp]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
FhlA	hypABCDE-fhlA[hypAp]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
Fis	acnB[acnBp1]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[GEA|W|Gene expression analysis]	WEAK	
Fis	acs-yjcHG[acsp1]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
Fis	acs-yjcHG[acsp2]	-	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[BPP|S|Binding of purified proteins],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG	
Fis	acs-yjcHG[acsp]	-	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[BPP|S|Binding of purified proteins],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG	
Fis	adhE[adhEp1]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
Fis	adhE[adhEp]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
Fis	alaWX[alaWp]	+	[BCE|W|Binding of cellular extracts]	[]	WEAK	
Fis	aldB[aldBp]	-	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[BPP|S|Binding of purified proteins],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[GEA|W|Gene expression analysis]	STRONG	
